section	app	icon	resolved_path	format	resolve_status	surface_status
resolved	Qt Linguist	linguist	/usr/share/icons/hicolor/128x128/apps/linguist.png	png	resolved	loaded_texture
resolved	Qt V4L2 test Utility	qv4l2	/usr/share/icons/hicolor/64x64/apps/qv4l2.png	png	resolved	loaded_texture
resolved	Electron 36	electron36	/usr/share/pixmaps/electron36.png	png	resolved	loaded_texture
resolved	LibreOffice Impress	libreoffice-impress	/usr/share/icons/hicolor/48x48/apps/libreoffice-impress.png	png	resolved	loaded_texture
iconless	Info Center	hwinfo			missing	not_loaded
resolved	CopyQ	copyq	/usr/share/icons/hicolor/48x48/apps/copyq.png	png	resolved	loaded_texture
resolved	LibreOffice Base	libreoffice-base	/usr/share/icons/hicolor/48x48/apps/libreoffice-base.png	png	resolved	loaded_texture
resolved	Arch OS	/usr/share/icons/hicolor/scalable/apps/arch-os-manager.svg	/home/home/.cache/wayspot/icons/icon-2848082900.png	png	resolved	loaded_texture
resolved	Ghostty	com.mitchellh.ghostty	/usr/share/icons/hicolor/32x32/apps/com.mitchellh.ghostty.png	png	resolved	loaded_texture
resolved	LibreOffice Writer	libreoffice-writer	/usr/share/icons/hicolor/48x48/apps/libreoffice-writer.png	png	resolved	loaded_texture
resolved	btop++	btop	/usr/share/icons/hicolor/48x48/apps/btop.png	png	resolved	loaded_texture
resolved	Qt Widgets Designer	designer	/usr/share/icons/hicolor/128x128/apps/designer.png	png	resolved	loaded_texture
resolved	Qt V4L2 video capture utility	qvidcap	/usr/share/icons/hicolor/64x64/apps/qvidcap.png	png	resolved	loaded_texture
iconless	uuctl	applications-system			missing	not_loaded
resolved	Wayspot	wayspot	/home/home/.cache/wayspot/icons/icon-465554165.png	png	resolved	loaded_texture
resolved	xgpsspeed	/usr/share/gpsd/icons/gpsd-logo.png	/usr/share/gpsd/icons/gpsd-logo.png	png	resolved	loaded_texture
resolved	Meld	org.gnome.Meld	/home/home/.cache/wayspot/icons/icon-2675406785.png	png	resolved	loaded_texture
resolved	Alacritty	Alacritty	/home/home/.cache/wayspot/icons/icon-4283118203.png	png	resolved	loaded_texture
iconless	Avahi Zeroconf Browser	network-wired			missing	not_loaded
